birthyear,avg(tripduration)
1934.0,774.0
1938.0,730.0
1901.0,689.0
1944.0,660.6029411764706
2003.0,651.7428571428571
NaN,631.8232207117153
1899.0,597.7906976744187
1930.0,561.2
1949.0,551.9635854341736
1948.0,547.8658146964856
